Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,North Carolina,Avery,0,0,0,36.07569796,-81.92308483
2020-03-30 22:52:45,Louisiana,Avoyelles,14,0,0,31.07796211,-92.00079449
2020-03-30 22:52:45,Colorado,Baca,1,0,0,37.31940883,-102.5603223
2020-03-30 22:52:45,Georgia,Bacon,1,0,0,31.55456473,-82.45936528
2020-03-30 22:52:45,Texas,Bailey,0,0,0,34.06854817,-102.8299707
2020-03-30 22:52:45,Florida,Baker,8,0,0,30.33060121,-82.28467476
2020-03-30 22:52:45,Georgia,Baker,1,1,0,31.32669878,-84.44218806
2020-03-30 22:52:45,Oregon,Baker,0,0,0,44.70915557,-117.6749883
2020-03-30 22:52:45,Alabama,Baldwin,18,1,0,30.72774991,-87.72207058
2020-03-30 22:52:45,Georgia,Baldwin,3,0,0,33.06882326,-83.24701748
2020-03-30 22:52:45,Kentucky,Ballard,0,0,0,37.05842757,-88.99427697
2020-03-30 22:52:45,Maryland,Baltimore,186,1,0,39.45784712,-76.62911955
2020-03-30 22:52:45,Maryland,Baltimore City,152,2,0,39.30211911,-76.61151012
2020-03-30 22:52:45,South Carolina,Bamberg,0,0,0,33.21927586,-81.05659969
2020-03-30 22:52:45,Texas,Bandera,0,0,0,29.74619598,-99.24598147
2020-03-30 22:52:45,Georgia,Banks,1,0,0,34.35607081,-83.49644388
2020-03-30 22:52:45,Nebraska,Banner,0,0,0,41.54634427,-103.7114332
2020-03-30 22:52:45,Idaho,Bannock,3,0,0,42.67002716,-112.2233311
2020-03-30 22:52:45,Michigan,Baraga,0,0,0,46.6720582,-88.36363591
2020-03-30 22:52:45,Kansas,Barber,0,0,0,37.2288586,-98.68460053
2020-03-30 22:52:45,Alabama,Barbour,0,0,0,31.868263,-85.3871286
2020-03-30 22:52:45,West Virginia,Barbour,0,0,0,39.1307219,-80.00350858
2020-03-30 22:52:45,North Dakota,Barnes,2,0,0,46.93579637,-98.06605978
